Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
9.034849929,1.0522014,1.209293713,0.90384691,G8III,13.04161444,0
9.077823657,0.1420636007,1.290572279,1.050754691,K2IV/V,12.96718158,1
1.206926903,10.05829962,0.5464956941,0.8097564497,G9III,15.48507681,0
7.160056893,-0.1126082577,1.088403319,1.02125315,G0Ib,11.22797726,0
7.14376164,16.3519969,0.8975281078,0.6097539586,F6V,18.82777582,1
8.482868903,-0.9575188919,1.322956374,1.670352158,K3III,10.42339794,0
2.265926882,7.13961308,0.6160007346,0.9415281846,G5III,14.69509044,0
3.672567993,11.53529282,1.052733015,0.1064132649,A2III,14.71861315,0
6.917695254,6.193375549,0.8861314654,0.9547569685,K0III,15.73415051,0
8.012393078,17.39598935,0.9913421919,0.6066389988,G3V,18.94793893,1
7.355964832,-0.06608349183,0.5985780652,1.039815735,G0Ib,10.99145972,0
8.466564203,11.09784275,0.9931963742,0.783332012,K0V,19.92498185,1
8.278673165,16.43541835,1.183864465,0.5221266829,G1V,19.69765634,1
8.768319509,6.316793879,1.42068221,0.5378796584,F3V,17.15390074,1
2.918365099,5.033876929,0.5570291954,-0.02113409338,A1III/IV,14.36493705,1
6.882502709,4.237342048,0.650742144,0.0570117511,B8IV,14.70672101,1
8.351665677,2.011991213,0.7896607261,0.9917079988,K1III,15.87135409,0
7.323981719,7.791428171,1.109574953,0.445549516,F0IV,16.48953424,1
7.506382229,2.695206916,0.8416396545,1.393472436,K3III,13.95593732,0
1.703143662,21.26146812,1.103103554,0.6306301462,F6V,17.84940221,1
9.179819035,21.19316152,1.315583417,0.7873116315,G5III,19.78272165,0
7.577932548,4.585861021,0.7468920961,1.407853571,K3III,15.74748801,0
8.020642559,5.58242936,0.8556022899,0.9509077519,G8III,15.98632903,0
9.487878855,1.668920354,1.494416967,0.4265320281,F0V,16.46975137,1
8.41697377,1.723159934,1.408306224,0.9418599473,G8III,15.45156086,0
8.517320088,7.404174036,1.307952374,0.7307848282,A9V,17.71372409,1
8.165431585,4.822862734,0.8556069064,1.081460474,G8III,16.03876212,0
8.48740118,2.991466861,1.052192127,0.4214690945,F0V,16.88306624,1
8.261699056,5.982150234,1.013730541,1.038176892,G8III/IV,16.75051601,1
9.209147068,2.607433283,1.447030007,1.031515058,G8IIIp...,15.90121177,0
4.602792015,5.573492402,0.4188042963,1.424748332,K4III,14.38761208,0
7.157190493,0.9603409143,0.8315309319,-0.1181773415,B5V:,13.0295238,1
8.915913903,4.147825598,1.413431655,0.5537383083,F3V,18.27779161,1
8.837804639,4.506121475,1.859031682,0.5609393206,F5V,17.00981982,1
7.287067208,1.143802916,1.016937912,1.327050305,K5III,13.55780343,0
1.196176619,13.83543685,0.6521656549,0.08216700758,A3IVn,15.80210226,1
8.615614553,0.2495598054,1.247205318,1.568492438,G5Iab-bv,12.36941742,0
4.199561644,11.78671566,0.5913134898,0.08464686529,A1V,16.32578802,1
6.804871882,2.657290537,0.5345434796,-0.1069870558,B7III,13.75755823,0
9.358462196,0.3119744596,1.220201876,1.434931923,M3III,13.116112,0
7.64577415,3.018661269,1.369757618,0.9946864712,G8III,15.09981664,0
5.459381108,1.244962663,0.5271620918,1.519130525,M2III,11.45487662,0
6.775741463,12.27044528,0.9056290659,0.5258771858,F3IV,15.71526573,1
7.529513956,11.58116922,0.6406276995,0.2851964511,A3III/IVs..,16.87601191,1
7.805547242,2.549611491,0.680326525,0.5214590101,F2IIIm...,17.5430092,0
9.070979414,8.408536426,0.8276073468,0.6151260715,G0V,19.37666997,1
6.570374971,1.070851041,0.4754017574,-0.06254168468,B2IV,13.17798522,1
7.035672815,3.399413623,0.9828733506,1.113486799,K1III,14.91480398,0
7.894673885,3.283993694,0.8186616665,1.283239587,M3II/III,15.07973786,0
4.931165351,0.8357792907,0.7893416021,1.506145953,M0IIIvar,13.10917839,0
8.699834182,2.593839116,1.918834122,1.049314827,K0III,16.31920638,0
8.30837349,1.74186779,1.072360156,1.074176025,K2/K3III,15.30223612,0
8.740080279,3.012662608,0.9585376631,-0.1298470591,B9V,17.01607996,1
8.625893402,14.08783614,1.12216669,0.7620449504,G6V,19.81014925,1
7.204219886,3.397900215,0.9506416989,1.175266249,K7V,14.89151414,1
7.871846527,3.919675305,0.8754437827,0.6350716719,F5III/IV,16.41225521,1
9.899404022,4.283097311,2.330048836,0.6398881512,F5V,18.78342436,1
7.112417265,5.158767975,0.9896443177,0.006878429068,A0V,16.66277051,1
6.963210156,3.889156336,0.9441355446,0.974170896,K0/K1III+..,15.67866565,0
9.362351644,-0.1173782744,1.400709764,0.3164758853,F5V,13.07426964,1
9.354786881,12.45488477,1.342328313,0.6710538838,G3V,20.53364652,1
8.49500857,0.6062236163,1.289837236,0.1442324523,B8III,14.97079956,0
10.01637955,2.373846365,1.595660325,0.9641676629,G8V,16.96545907,1
5.940813702,6.210161273,0.786994068,1.066727193,K4III,15.77249775,0
6.89541174,2.744008616,0.4163489195,1.638561905,K3III,15.2787104,0
9.135572198,9.063400027,1.734429977,0.7177157281,G5V,19.03286531,1
4.814851539,11.94746533,0.7154000642,1.197908211,K2III,16.59660182,0
8.016174739,2.913398594,0.7604464426,0.1059226663,A0V,15.48792846,1
7.919266406,10.96671109,1.015461403,1.271108501,K1III,16.44262989,0
8.53204216,0.3543165361,0.7801527101,0.9857390125,G8III,13.54748147,0
8.75548332,20.73180664,0.9137687889,0.6754024498,G5V,18.86118211,1
8.465540885,5.429163396,1.298912763,1.046430389,K0III,18.27907064,0
8.554525053,0.0501686562,0.9249464878,1.548715144,K3/K4III:,8.949017392,0
9.01031335,4.044622526,1.331152753,0.9183174673,K0III,17.79978077,0
7.792556246,7.047294429,0.8954179583,0.4191841328,F0IV,17.22795593,1
7.985855643,12.46717114,1.33553368,0.6217715679,G2V,18.70797531,1
8.537928064,1.359316502,1.138400094,0.9202477582,G8III,15.37161262,0
7.937844131,14.02729634,0.886892156,0.390149164,F3III,17.11297029,0
8.300710366,8.987474068,0.926515395,0.503980469,F5V,17.64995091,1
8.515447477,7.346373251,0.9578592841,0.4682170714,F0III,18.97889923,0
8.578964286,9.399727843,0.8377845668,0.7884705226,G5V,18.54432096,1
8.881688786,0.06099846593,0.7543248858,1.100395755,K1/K2IV/V,12.87762719,1
7.689429732,-0.4422522771,0.6117908863,0.526423553,B8Iab:,7.950701805,0
3.81888617,5.068609179,0.4736658736,0.726065223,G8IIIvar,13.01119577,0
7.131761229,26.31778228,0.8532270596,0.7915774344,G5V,18.86690586,1
8.000106905,0.6764859076,0.9882076943,0.4914337165,B2III,14.62170721,0
9.268612673,3.49646945,0.8622512208,0.04848794378,A1/A2IV/V,16.89001467,1
7.137297363,20.25038163,0.7773164679,0.1080964439,G8IV,19.5543211,1
9.898828611,2.231399971,1.049634656,0.03944261355,B9IV/Vp...,16.23780332,1
5.433324199,8.016034143,0.6265867714,-0.08626697478,A0V,16.99390393,1
7.004933565,4.0564268,1.042658506,0.8518287686,G8III,14.69124167,0
8.912003232,2.928323131,1.115495164,0.1421114965,A0V,15.97845435,1
8.604294259,11.26086183,0.965012197,0.6461638304,G0V,19.20959056,1
6.537320984,1.059435682,0.8470493478,0.3163481941,B1.5II,12.55245045,0
9.919687011,2.774393504,2.150153521,0.170119157,B8II/III,17.43556305,0
1.444966617,10.07309718,0.5438567341,0.9451930203,G6/G8III,16.16377407,0
9.30120019,2.249209229,1.338441201,1.222645908,K5III,15.2629,0
5.40207624,1.616735649,0.7104781239,1.118110212,G6VII,10.49946799,0
8.176191562,7.003162151,1.182843502,0.3184077865,F0V,18.42046683,1
8.130886164,2.535683395,1.191537627,1.093376328,K1III,15.28334131,0
8.797270365,2.887109673,1.032853859,1.091477367,K1III,16.37044953,0
4.890834319,10.41307344,0.657638472,0.02260939265,A0V,16.38485263,1
7.738501181,1.254904061,0.953311829,-0.1952205446,B8V,14.11558537,1
8.213941736,8.232642564,0.8632104641,0.1453819018,A8/A9V,17.96328489,1
7.689387803,3.185040509,1.219373972,0.08026184081,A0V,15.89999585,1
7.873607624,0.3031609276,1.042496917,-0.09079905087,B0IVpe,10.84049398,1
6.097693088,23.51746595,0.5479425082,0.452120685,F3V,17.84267963,1
9.01890115,1.982010227,0.9804138903,0.8847425053,K0III,14.59233028,0
8.24943736,7.771951902,1.052881626,0.564625368,F3V,17.14738261,1
6.862056102,2.977570207,1.189628573,1.009781506,K1III,13.68797655,0
8.217838616,1.010891831,1.004393119,0.1575736562,B2III,13.69511903,0
8.067854511,4.486246578,0.8376803517,0.05011834532,B9IV/V,16.73854044,1
9.02563156,17.21800123,0.8384159365,0.7312578126,G3V,20.52326147,1
-0.6546132841,7.152684268,0.6346849905,1.186323346,K4III,13.71239386,0
8.692712082,-0.002659283475,1.085945829,1.310483917,K2III,12.40428565,0
7.845802857,4.084758734,0.487318201,0.2107641587,A0V,14.82536175,1
8.292005985,2.602163716,1.118779305,0.5976967537,F5IV,15.85235012,1
9.133630991,1.527927304,0.9427381865,1.063382449,K0III,16.7325324,0
8.996153497,1.489726476,1.341384205,1.387389094,K1III,15.49818123,0
6.588529406,5.462802454,0.5377692214,0.9936749859,K0III,15.20937968,0
1.546212524,32.78001829,0.5858810698,0.2480732176,F0IV,17.87876565,1
8.053657992,3.342093898,1.041994666,0.9346544714,K5III,15.03308938,0
8.180396299,8.901561656,0.920834319,0.6325940284,A9V,17.995421,1
8.883513451,2.052816666,1.634258177,1.042713537,G8V,15.73206633,1
5.998475582,23.58536641,0.9148149744,0.6088322707,F8V,18.90603509,1
7.123756203,6.736146785,0.6545081891,0.5294751721,A8IV,15.31665667,1
3.153346541,7.434060188,0.7468783859,0.06423834547,A0V,15.47236144,1
9.388922012,2.190715184,1.000694031,0.4667907624,F0V,15.8311304,1
2.787318124,43.56275847,0.4772613316,0.5590656371,F6Vasv,17.36868213,1
10.60846191,2.217593014,1.771425261,0.8794816662,G8III,16.46033719,0
6.929363842,-0.1990576305,0.6787121011,0.6404889093,F5Ib,13.29367654,0
7.968973039,8.787462362,0.7518811255,0.3707807009,F3V,16.47752172,1
8.887309019,2.136063814,1.058549076,1.263902102,K2III,15.13310984,0
7.770617599,3.69085908,0.9404801067,0.05447466366,F3IVp...,15.12302075,0
7.066441764,-0.05948660192,0.5301799755,0.03264860171,B5Iab/b,10.87771021,1
7.834585495,2.906584689,1.351379389,0.9291989405,G0/G2IIIw..,16.15818936,0
9.038275841,1.129437485,1.586902076,1.398687993,K3III,14.22021963,0
7.468594225,1.92302782,1.119817028,-0.08211102046,B6III,14.61566389,0
7.517459473,3.571780391,0.6787679471,1.278314277,K2III,14.41618837,0
8.268036587,2.422191476,1.02510892,0.7982713563,G3Ib/II,15.59703043,0
4.770452903,3.111641753,0.4930826198,1.620478162,K3III,12.97827038,0
6.266854865,36.29055788,0.6377065561,0.5937726981,F9V,18.77356027,1
7.900141047,1.542146834,1.228740505,1.078001287,G8III,14.84778717,0
8.118066526,-0.4015327884,1.261882455,1.163098134,M2III,8.593263849,0
7.489649869,5.880391256,0.8365888235,1.321194717,K1III,15.71233767,0
1.736899236,1.336367206,0.6552952915,1.59353543,K5Iabvar,11.69684189,0
7.691584584,4.082465097,1.001168797,0.4183910075,F2IV,14.39594256,1
8.809426351,8.809173283,0.9154897253,0.6580436749,F3V,18.25053031,1
8.697400984,7.708730602,1.290163193,0.8726159174,G8III,16.98466899,0
7.525178929,5.609548817,1.185013434,0.07354188527,B9V,17.95209641,1
9.300923552,10.5898098,1.848287645,0.7115972296,G8/K0V+...,18.68587197,1
8.219039777,4.549509984,0.7421701471,0.4332443629,F3V,16.4831996,1
8.598898071,2.327946136,1.395653779,0.1400962024,A1IVs,15.73134143,1
8.399547977,17.29181702,1.485037151,0.8866355873,K0V,22.05023548,1
8.988909928,-0.002842087478,0.9913152675,0.443711422,B2/B3II,9.369752992,0
9.030240499,2.469689887,1.006437278,0.2339841788,A6/A7V:,16.09975095,1
8.473510574,12.1362604,1.403493339,0.3070727252,A9V,18.73367942,1
0.804106643,8.464868641,0.5538550183,1.199792649,M0III,14.45536249,0
8.806449697,7.081054911,1.012728609,0.8613164361,F8/G0V,19.1687879,1
8.29858296,5.073490749,1.215286524,1.042387569,G8IV,17.29461224,1
7.832000971,1.032651506,0.9833100834,1.511495046,M3III:,11.69794237,0
7.379151921,5.871754208,1.185754436,1.020529207,K1III,16.82051046,0
8.523010025,3.74629591,0.8041755693,0.9796464564,G8III,16.83067538,0
8.295555922,1.547515008,0.8041379387,0.9150484469,G8III,14.54352134,0
9.174337291,-1.802433665,1.57628333,1.271727554,K0III,11.94344358,0
1.872569324,8.310231318,0.6906879787,0.97596672,K0III,15.79186608,0
8.735360151,2.023304376,0.8767613436,0.3223951138,F2III/IV,14.46941622,1
7.841445687,6.420814509,1.283604891,1.456578175,M2III,17.58567457,0
8.226385486,15.00673244,0.9356341136,0.5351771788,F7V,19.1337936,1
7.593639394,2.625761394,0.7793011002,0.9589541049,G8III,15.23718866,0
6.092915797,5.412603932,0.7017244708,0.9689786376,G8III,14.60211392,0
7.012088671,3.431505434,0.990242505,1.244698694,K5III,15.26301265,0
7.128225479,3.814755027,0.6666582048,0.9022263359,K0IIICN,16.10260417,0
8.060125472,2.629190061,1.100014678,1.451104579,K0III,15.04107715,0
7.343661958,2.907347993,0.8861705383,1.387251822,K5III,15.80265801,0
8.699818906,-0.2546598498,1.498889162,1.202353471,K1III,13.26448787,0
6.399962337,1.245112644,0.8235404894,1.110131569,F5Ia,12.92281331,0
4.660872057,0.2985341091,0.4931905261,0.3297023596,A3Ib,7.153858473,0
6.852165412,5.232942123,0.6103884407,1.161108021,K0III,16.43099367,0
10.3153026,1.470388029,1.521939682,0.4833043097,F3/F5V,16.23675374,1
2.671684209,9.590731188,0.7488585015,1.277624979,K5III,16.05867994,0
9.430022224,20.43755876,2.023746912,1.030930029,K2III,22.19436607,0
2.914075541,11.94752287,0.6107332331,1.085134631,K2III,16.06936098,0
8.817293399,0.1656793521,1.148073214,-0.09942442756,O9.5IV,9.718879181,1
9.013965333,1.209571475,1.208399382,0.4394571745,F0V,15.63738732,1
9.091321244,9.691882731,1.728090353,0.4998362936,G5/G6V,18.93818213,1
7.958529579,0.4752847164,0.9561430991,1.6288109,K4III,7.806004392,0
8.725074407,2.669943834,1.588977599,1.071639343,K0III,15.34220949,0
8.37768211,2.11914237,1.32543033,1.037300066,G8IV,15.39043683,1
7.264905464,3.771337486,0.8477612799,1.548685154,K5III,14.65156887,0
8.396156202,2.56913329,0.9138845114,1.463278537,K5III,15.4714847,0
10.02174106,2.604111108,1.779939698,0.4937652757,F2/F3IV:,17.91943295,1
9.205137438,-1.167556838,1.319334353,1.142519935,K8V:,22.07512432,1
6.433232389,4.990875661,0.8822894764,1.199910813,K1/K2IIICN.,15.98598097,0
9.849715725,9.886328237,0.9093364287,0.568367678,F5V,18.72036237,1
9.054922353,5.777938171,1.111299398,0.5102400856,F5V,18.44879151,1
7.973229106,49.21731654,0.8113223914,1.225602,K5V,23.99882067,1
3.495476665,13.71589135,0.5653372164,0.1463254214,A0V,15.68370395,1
8.544233866,1.568579267,1.245951108,1.094182432,K1III,14.27055684,0
7.601889608,5.28254775,0.885628901,1.349229742,K5III,16.17346176,0
7.538179676,17.39290769,0.4042386111,0.4484007326,A9III/IV,16.94815351,1
9.352438986,1.866258885,0.746206211,-0.09932832025,B8V,16.09954897,1
8.309199132,1.018960417,1.139086897,1.178428508,K1III,13.33071606,0
8.616623668,10.02574775,1.389367005,0.3484301314,A7V,17.12884557,1
8.340310293,-0.552549728,1.005019878,1.025619838,G3III/IV,9.9861868,1
8.766101048,3.310084347,1.199331847,1.297147945,K3III,15.91005298,0
7.784247486,2.84311111,1.010402476,1.239895792,G8III,15.31453847,0
8.386790589,9.205022303,1.957825798,0.4121227746,F5V,18.46169103,1
2.901179475,10.56160435,0.5920282303,0.01760308129,B9.5Vn,15.95866125,1
9.479145626,2.74649696,1.513329533,1.101449044,G8III,16.38108217,0
8.941783843,2.823822938,0.9276674035,1.055351636,K0III,16.74025068,0
8.193171151,10.71547559,0.9508361962,0.9706450417,K0III,17.99048815,0
8.161463484,2.711372246,0.9583066401,1.000944866,G8III,16.38314036,0
9.105830815,5.824859826,1.565266596,0.5130918153,F5V,17.66621376,1
7.727902759,4.98730323,1.243319414,0.9034681203,G8III,16.60673318,0
9.60002269,1.231602129,1.757599867,0.02237865982,B1/B2II/III,14.23925368,0
8.888843716,19.08002471,1.226249873,0.4689930294,G5III,18.92313827,0
6.914145622,4.620274111,0.7790583049,1.379996021,K3III,15.0133241,0
7.284136243,2.101623541,1.336004035,1.538503103,K5III,14.7156324,0
9.0801396,-0.5203293587,1.287196348,1.719804188,K4/K5III,11.52737492,0
9.984471679,2.340764569,1.319227577,1.264826868,K2III,15.06049329,0
6.980348734,6.623893818,0.8723270046,0.4448204994,F0IV-V,16.80312483,1
8.892657512,6.293164382,0.9782434684,0.2986781783,A3V,16.93573156,1
9.365843499,5.052336768,1.729857886,0.6688819044,F3V,18.85422686,1
7.720972598,6.529794265,0.9139097093,0.242009194,A8/A9III,17.25277816,0
9.388259752,5.73114042,1.884823594,0.466679497,F3V,18.05755627,1
8.78776257,5.585428458,1.01459018,0.3898509752,F3V,17.49161803,1
7.123269516,2.870193926,1.353438698,1.021707213,K2III,15.74803997,0
7.948058239,6.680985982,0.9608101868,0.472166317,G3IV,17.07881526,1
4.359300093,3.930532492,0.5248347387,-0.01479940837,A0IIIn,12.87205493,0
8.500019353,9.793088603,1.279625299,0.4813503851,F7V,17.87091541,1
8.965782504,3.47411097,1.553311919,0.5878741507,F5V,17.32280563,1
7.271911054,1.382331986,0.7796873078,1.273329659,K0/2III +A/F,12.37783046,0
7.635564327,8.792257554,1.109437831,0.49477216,F2V,17.4408437,1
8.371731618,6.756338786,0.9260362392,0.4076775789,F0III,17.31198285,0
7.995230166,1.1319135,1.196055612,1.217782151,M2III,14.34282492,0
3.37538024,9.70871781,0.8072655081,-0.07270621833,A3IV,13.86020823,1
10.05960689,6.848637241,1.161486407,0.4234242095,F6V,18.72306004,1
9.250151311,3.77353543,1.407606571,1.039238319,K0III,16.51699322,0
6.970766788,12.60493438,0.4376908967,0.07684069564,A3III/IVs..,17.31483753,1
10.33100725,4.86092488,1.144879676,0.5582416211,F0V,19.30310834,1
8.523799255,1.944175617,1.216317154,-0.006406530136,B2III,14.96601108,0
9.401607295,16.31046453,0.9010052679,0.7121204045,K3V,19.90464165,1
9.194844389,5.475057759,1.251662978,0.328598439,F0V,17.54043637,1
7.636235345,11.10784959,1.014450764,1.026367269,G8IV,18.47928905,1
8.492766936,2.060657594,1.281025267,1.056603944,K0III,15.58131332,0
8.656935601,21.86077419,1.009839033,0.6152696868,G5V,20.90864204,1
9.079168231,0.6104490904,1.127347771,1.111302428,K1/K2IIICNv,14.84846242,0
8.130408072,11.82866426,0.8324759913,0.1146010957,A2III/IV,17.42603324,1
6.370660805,12.26673341,0.8330937807,0.726949359,F5IV-V...,18.67369437,1
7.76038057,13.38679662,0.8972829229,0.4633323196,F5V,18.12936072,1
8.957368628,3.025195898,0.8208151158,0.1101741043,A8II:w,17.46662081,0
5.783003433,10.52406768,1.054988844,1.21059048,K1III,17.60969746,0
7.338235556,1.621577029,0.9481401304,1.131838412,K4III,13.06737226,0
8.429937441,1.072870493,0.8906113224,1.370952371,K5III,12.64107549,0
8.228852608,4.684223762,1.028992689,-0.114221776,B8/B9V,14.80933109,1
8.160265502,2.366023001,1.01383151,1.210273991,G8III,16.01627698,0
6.874722094,0.2343886214,1.186445449,0.1361812289,A1/A2IV,11.55474392,1
8.128002629,1.879529023,0.9701189677,1.401312042,K1III,14.99857872,0
8.202275934,2.898984845,1.006909949,0.8706878333,K0III,14.44447977,0
7.945550272,3.625343679,1.23658256,0.148409403,A0V,16.39915228,1
7.698821488,1.653033399,1.298717589,1.414918226,K3III,13.40824704,0
1.77263195,11.4857808,0.7615419902,0.8925115548,G8III,16.04370166,0
7.664824659,2.500284155,1.182077795,-0.02340601649,B9III,14.74950226,0
4.285109598,5.851449858,0.7045097485,0.05516154966,B2III SB,13.1647863,0
8.940134684,-0.8969352578,1.554819988,1.474375431,K3III,13.72613609,0
8.670010985,2.164638567,1.335559257,0.9527180677,K0III,15.86361571,0
2.889156278,7.813274826,0.8273177658,1.246692854,K3III,14.72236412,0
9.193262158,7.625056041,1.068129554,0.5063568532,F5V,18.15726813,1
8.516447401,3.776220427,1.01165247,0.05996703236,A0V,16.31312613,1
8.275378859,0.7456087252,1.106985599,1.294290736,K3III,12.9046007,0
8.018432129,3.595238476,1.134575915,1.1434659,K2III,15.68986721,0
6.706104306,4.544472906,0.5249267068,1.183647161,K0III,14.61608606,0
6.685700575,5.22818603,0.7156975911,0.8856545469,G8III,15.21700302,0
5.772836553,6.142853203,0.5985978562,0.01291268853,A0V,14.23164485,1
6.82887182,9.313518294,0.6540471329,0.02285272981,B9.5V,14.96477933,1
8.138599654,3.530290014,1.337831668,-0.01435246534,B5/B6III,16.63309014,0
8.36224777,5.191671124,0.8453755746,1.150943769,K1III,16.98696492,0
8.727109429,4.905146557,1.197887666,1.459537531,K5III,16.03646283,0
8.365420687,2.328205811,1.962500631,0.6497215668,G3V,17.0482186,1
4.083814145,12.79915623,0.7539904696,0.127814667,A3IVs...,15.84667683,1
5.760754673,0.368910598,0.774378017,1.149174702,A7Iab,11.30633562,0
8.929235635,4.630967872,1.487274174,0.9655883007,K1III,17.74691133,0
7.612734769,3.157934712,0.8979883915,-0.1510769629,B9II/III,15.63447794,0
7.423914387,2.83813538,0.7526791637,1.104812637,K0III,15.82772741,0
7.648257362,1.73095868,1.145547418,1.512354605,K5III,14.26931879,0
8.612805365,6.772975548,0.8194548163,1.25188013,K0III,17.91103227,0
3.520534865,14.65834172,0.5589327366,0.1660713952,A4III,15.52247116,0
9.252202854,3.340731325,1.675246961,0.5883308515,A3II/IIIm..,17.97017383,0
8.931950873,3.548277839,1.094725673,1.423450839,K1III,16.86968003,0
9.059407853,2.859269228,1.270806763,0.2268605632,F0V,16.00780042,1
7.201214174,4.994083317,0.9221662761,0.9387019873,K7V,16.46152458,1
8.161335935,1.968681556,0.7419358579,1.071639682,G8III/IV,14.91751077,1
8.211802225,6.002446926,0.8820743323,0.3843305559,A9V,16.4097773,1
